COD_ETU,Note : TLBC3104,Résultat : TLBC3104,Session : TLBC3104,Année : TLBC3104,Note : TLBC3204,Résultat : TLBC3204,Session : TLBC3204,Année : TLBC3204,Note : TLBC3304,Résultat : TLBC3304,Session : TLBC3304,Année : TLBC3304,Note : TLBC3404,Résultat : TLBC3404,Session : TLBC3404,Année : TLBC3404,Note : TLBC3504,Résultat : TLBC3504,Session : TLBC3504,Année : TLBC3504,Note : TLBC3604,Résultat : TLBC3604,Session : TLBC3604,Année : TLBC3604,Note : TLBC3004,Résultat : TLBC3004,Session : TLBC3004,Année : TLBC3004,Note : TLBC4104,Résultat : TLBC4104,Session : TLBC4104,Année : TLBC4104,Note : TLBC4204,Résultat : TLBC4204,Session : TLBC4204,Année : TLBC4204,Note : TLBC4304,Résultat : TLBC4304,Session : TLBC4304,Année : TLBC4304,Note : TLBC4404,Résultat : TLBC4404,Session : TLBC4404,Année : TLBC4404,Note : TLBC4504,Résultat : TLBC4504,Session : TLBC4504,Année : TLBC4504,Note : TLBC4604,Résultat : TLBC4604,Session : TLBC4604,Année : TLBC4604,Note : TLBC4004,Résultat : TLBC4004,Session : TLBC4004,Année : TLBC4004
18002635,13.65,V,1,2019,8.2,AC,2,2019,11.6,V,1,2019,11.7,V,1,2019,11.75,V,1,2019,16.2,V,1,2019,12183,V,2,2019,12,V,1,2019,16.2,V,1,2019,13.33,V,1,2019,14,V,1,2019,16,V,1,2019,14,V,1,2019,14255,V,1,2019
18002644,,,,,,,,,0,NRA,1,2019,0,NRA,1,2019,,,,,,,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2019
18002650,11025,V,1,2019,,,,,8.1,NV,2,2019,1.2,NRA,1,2019,,,,,,,,,,,1,2019,10,V,1,2019,,,,,,,,,,,,,10.5,V,1,2019,0,NV,2,2019,,,1,2019
18002652,0,NRA,1,2019,,,,,,,,,0,NRA,1,2019,0,NRA,1,2019,,,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2019
18002655,10,V,1,2019,6.25,NV,2,2019,10.15,V,1,2019,3,NRA,1,2019,.5,NRA,1,2019,8.4,NV,2,2019,6383,NV,2,2019,12,V,1,2019,10.6,V,1,2019,0,NV,2,2019,18,V,1,2019,10,V,2,2019,0,NV,2,2019,8433,NV,2,2019
18002659,,,,,,,,,,,,,4.3,NRA,1,2019,,,,,,,,,,,1,2019,10,V,1,2019,,,,,,,,,17.5,V,1,2019,,,,,15,V,1,2019,,,1,2019
18002664,6.4,NV,2,2019,4.4,NRA,1,2019,10,V,2,2019,3.7,NRA,1,2019,10,V,2,2019,7.5,NV,2,2019,7,NV,2,2019,10,V,2,2019,13.6,V,1,2019,17.8,V,1,2019,12.5,V,1,2019,11,V,1,2019,10,V,2,2019,12483,V,2,2019
18002676,8.05,NV,2,2019,6,NV,2,2019,10,V,2,2019,1.65,NRA,1,2019,3,NRA,1,2019,3.4,NRA,1,2019,5.35,NV,2,2019,10,V,2,2019,15,V,1,2019,,,,,,,,,,,,,14.5,V,1,2019,,,1,2019
18002681,17263,V,1,2019,9,AC,2,2019,14.75,V,1,2019,15.8,V,1,2019,15.5,V,1,2019,16.5,V,1,2019,14802,V,2,2019,16,V,1,2019,19,V,1,2019,16.7,V,1,2019,13.5,V,1,2019,16,V,1,2019,16,V,1,2019,16.2,V,1,2019
18002686,12.75,V,1,2019,8,AC,2,2019,10,V,2,2019,13.25,V,1,2019,11.5,V,1,2019,14.5,V,1,2019,11667,V,2,2019,13,V,1,2019,15.4,V,1,2019,19,V,1,2019,14.5,V,1,2019,11.5,V,1,2019,15.5,V,1,2019,14817,V,1,2019
18002688,10313,V,1,2019,10,V,2,2019,10,V,2,2019,7,AC,2,2019,7,AC,2,2019,10.4,V,1,2019,9119,AC,2,2019,14,V,1,2019,16.6,V,1,2019,12,V,1,2019,14.75,V,1,2019,16,V,1,2019,15.5,V,1,2019,14808,V,1,2019
18002690,10,V,2,2019,8.25,AC,2,2019,10.85,V,1,2019,15.2,V,1,2019,11.5,V,1,2019,13.1,V,1,2019,11483,V,2,2019,14,V,1,2019,13.6,V,1,2019,20,V,1,2019,17.5,V,1,2019,16,V,1,2019,16.5,V,1,2019,16267,V,1,2019
18002697,9.35,AC,2,2019,8.5,AC,2,2019,10.1,V,1,2019,10.35,V,1,2019,10,V,2,2019,12,V,1,2019,10.05,V,2,2019,11,V,1,2019,13,V,1,2019,20,V,1,2019,10,V,1,2019,18,V,1,2019,14.5,V,1,2019,14417,V,1,2019
18002699,12288,V,1,2019,10,V,2,2019,11.9,V,1,2019,11.5,V,1,2019,7,AC,2,2019,8.1,AC,2,2019,10131,V,2,2019,10,V,2,2019,12.2,V,1,2019,12,V,1,2019,13.25,V,1,2019,16.5,V,1,2019,15.5,V,1,2019,13242,V,2,2019
18002704,8.25,NV,2,2019,0,NRA,1,2019,0,NRA,1,2019,10,V,2,2019,7,NV,2,2019,,,,,,,1,2019,,,,,,,,,,,,,14.5,V,1,2019,,,,,0,NV,2,2019,,,1,2019
18002707,10175,V,1,2019,7.5,AC,2,2019,10,V,2,2019,8.6,AC,2,2019,10,V,1,2019,16.2,V,1,2019,10413,V,2,2019,14,V,1,2019,15.2,V,1,2019,17.77,V,1,2019,18,V,1,2019,17.33,V,1,2019,16,V,1,2019,16383,V,1,2019
18002713,7525,NV,2,2019,5.5,NV,2,2019,8,NV,2,2019,4.6,NRA,1,2019,2,NRA,1,2019,5,NV,2,2019,5438,NV,2,2019,10,V,2,2019,8,NV,2,2019,,,,,,,,,,,,,14,V,1,2019,,,1,2019
18002716,0,NRA,1,2019,3.5,NRA,1,2019,1.75,NRA,1,2019,.6,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,.975,NV,2,2019,8,NV,2,2019,12.4,V,1,2019,7,NV,2,2019,6,NV,2,2019,12.25,V,1,2019,0,NV,2,2019,7608,NV,2,2019
18002718,,,,,,,,,10.15,V,1,2019,,,,,,,,,,,,,,,1,2019,10,V,1,2019,11.4,V,1,2019,18,V,1,2019,,,,,,,,,,,,,,,1,2019
18002719,14313,V,1,2019,9,AC,2,2019,15.05,V,1,2019,9.2,AC,2,2019,10,V,1,2019,12.8,V,1,2019,11727,V,2,2019,12,V,1,2019,13.2,V,1,2019,14,V,1,2019,15.75,V,1,2019,16,V,1,2019,14,V,1,2019,14158,V,1,2019
18002720,8.55,NV,2,2019,6,NV,2,2019,12.05,V,1,2019,5.3,NV,2,2019,7125,NV,2,2019,8.5,NV,2,2019,7921,NV,2,2019,13,V,1,2019,14.4,V,1,2019,16.7,V,1,2019,16.5,V,1,2019,10,V,2,2019,11,V,1,2019,13.6,V,2,2019
18002721,10.9,V,1,2019,10,V,2,2019,11.35,V,1,2019,10,V,2,2019,10,V,1,2019,15.2,V,1,2019,11242,V,2,2019,11,V,1,2019,14.6,V,1,2019,18.88,V,1,2019,16,V,1,2019,17,V,1,2019,15,V,1,2019,15413,V,1,2019
18002722,14825,V,1,2019,8,AC,2,2019,13.75,V,1,2019,8.4,AC,2,2019,10,V,1,2019,15.6,V,1,2019,11763,V,2,2019,13,V,1,2019,16,V,1,2019,14.44,V,1,2019,16,V,1,2019,17,V,1,2019,11,V,1,2019,14573,V,1,2019
18002723,7513,NV,2,2019,6.75,NV,2,2019,11.7,V,1,2019,9.8,NV,2,2019,8.5,NV,2,2019,11.1,V,1,2019,9227,NV,2,2019,14,V,1,2019,16.2,V,1,2019,19,V,1,2019,,,,,,,,,14,V,1,2019,,,1,2019
18002725,12.25,V,1,2019,5.95,NV,2,2019,10.05,V,1,2019,0,NRA,1,2019,1625,NRA,1,2019,12.2,V,1,2019,7013,NV,2,2019,11,V,1,2019,10,V,1,2019,10,V,2,2019,14.5,V,1,2019,10.5,V,1,2019,12,V,1,2019,11333,V,2,2019
18002726,5.7,NV,2,2019,4.15,NRA,1,2019,8,NV,2,2019,3.9,NRA,1,2019,3.25,NRA,1,2019,5.5,NV,2,2019,5083,NV,2,2019,10,V,2,2019,11,V,1,2019,12.2,V,1,2019,10,V,2,2019,13.5,V,1,2019,11,V,1,2019,11283,V,2,2019
18002727,12975,V,1,2019,7.5,AC,2,2019,13.95,V,1,2019,7,AC,2,2019,9.25,AC,2,2019,16,V,1,2019,11113,V,2,2019,12,V,1,2019,14.4,V,1,2019,14,V,1,2019,18.5,V,1,2019,15.75,V,1,2019,16,V,1,2019,15108,V,1,2019
18002728,10438,V,1,2019,7.15,AC,2,2019,10.95,V,1,2019,8.7,AC,2,2019,11.25,V,1,2019,17.3,V,1,2019,10965,V,2,2019,10,V,2,2019,12.4,V,1,2019,12.22,V,1,2019,13.5,V,1,2019,10,V,1,2019,11,V,1,2019,11.52,V,2,2019
18002730,7.25,NV,2,2019,,,,,10,V,2,2019,0,NRA,1,2019,,,,,,,,,,,1,2019,10,V,1,2019,11,V,1,2019,14.4,V,1,2019,18.5,V,1,2019,,,,,14,V,1,2019,,,1,2019
18002764,8475,AC,2,2019,8.5,AC,2,2019,10,V,1,2019,14.3,V,1,2019,10,V,2,2019,14.9,V,1,2019,11029,V,2,2019,14,V,1,2019,17.6,V,1,2019,17.8,V,1,2019,15,V,1,2019,17,V,1,2019,13,V,1,2019,15733,V,1,2019
18002798,12913,V,1,2019,7.8,AC,2,2019,8.85,AC,2,2019,11.25,V,1,2019,10.5,V,1,2019,15.5,V,1,2019,11136,V,2,2019,12,V,1,2019,14.8,V,1,2019,20,V,1,2019,16.5,V,1,2019,17,V,1,2019,14.5,V,1,2019,15.8,V,1,2019
18002805,9575,AC,2,2019,10,V,2,2019,12.3,V,1,2019,11.4,V,1,2019,7125,AC,2,2019,16.9,V,1,2019,11217,V,2,2019,10,V,2,2019,16,V,1,2019,14,V,1,2019,16.25,V,1,2019,17,V,1,2019,12.5,V,1,2019,14292,V,2,2019
18002811,10075,V,1,2019,8.75,AC,2,2019,10.95,V,1,2019,10,V,1,2019,8,AC,2,2019,13.2,V,1,2019,10163,V,2,2019,10,V,1,2019,18.2,V,1,2019,18,V,1,2019,15.75,V,1,2019,14,V,1,2019,16.5,V,1,2019,15408,V,1,2019
18002817,16263,V,1,2019,8,AC,2,2019,14.7,V,1,2019,10.05,V,1,2019,14,V,1,2019,15.5,V,1,2019,13086,V,2,2019,13,V,1,2019,17.8,V,1,2019,17.8,V,1,2019,16.5,V,1,2019,12,V,1,2019,16,V,1,2019,15517,V,1,2019
18002818,9125,NV,2,2019,5.75,NV,2,2019,8.2,NV,2,2019,5.7,NV,2,2019,5,NV,2,2019,10,V,1,2019,7296,NV,2,2019,13,V,1,2019,15.2,V,1,2019,17.8,V,1,2019,17.5,V,1,2019,10.5,V,1,2019,15,V,1,2019,14833,V,1,2019
18002828,10,V,1,2019,7,AC,2,2019,11.25,V,1,2019,8.3,AC,2,2019,7,AC,2,2019,11.9,V,1,2019,9242,AC,2,2019,10,V,2,2019,11.4,V,1,2019,10,V,2,2019,14.25,V,1,2019,14.75,V,1,2019,10,V,2,2019,11733,V,2,2019
18002833,13488,V,1,2019,10,V,2,2019,12.9,V,1,2019,10.2,V,1,2019,11.25,V,1,2019,11.8,V,1,2019,11606,V,2,2019,13,V,1,2019,14.2,V,1,2019,19,V,1,2019,16.5,V,1,2019,17,V,1,2019,15.5,V,1,2019,15867,V,1,2019
18002839,16063,V,1,2019,10,V,2,2019,14.75,V,1,2019,17.1,V,1,2019,11625,V,1,2019,17.4,V,1,2019,14.49,V,2,2019,17,V,1,2019,16,V,1,2019,16,V,1,2019,16.75,V,1,2019,16.5,V,1,2019,13,V,1,2019,15875,V,1,2019
18002859,7.5,NV,2,2019,10,V,2,2019,10.75,V,1,2019,4.1,NRA,1,2019,,,,,,,,,,,1,2019,10,V,2,2019,13.6,V,1,2019,10,V,2,2019,10.25,V,1,2019,13.75,V,1,2019,13,V,1,2019,11767,V,2,2019
18002881,10,V,2,2019,7.5,NV,2,2019,13.1,V,1,2019,0,NRA,1,2019,1.25,NRA,1,2019,5.1,NV,2,2019,6158,NV,2,2019,12,V,1,2019,14.8,V,1,2019,16.7,V,1,2019,16.5,V,1,2019,13.5,V,1,2019,14,V,1,2019,14583,V,1,2019
18002887,12.55,V,1,2019,10,V,2,2019,13.2,V,1,2019,10.8,V,1,2019,11,V,1,2019,12.5,V,1,2019,11675,V,2,2019,13,V,1,2019,14.4,V,1,2019,16.7,V,1,2019,15.5,V,1,2019,15.33,V,1,2019,16,V,1,2019,15155,V,1,2019
18002902,9575,AC,2,2019,8,AC,2,2019,10,V,2,2019,8.5,AC,2,2019,10.75,V,1,2019,10,V,1,2019,9471,AC,2,2019,17,V,1,2019,18.2,V,1,2019,17.8,V,1,2019,15,V,1,2019,17,V,1,2019,15,V,1,2019,16667,V,1,2019
18002912,0,NRA,1,2019,,,,,0,NRA,1,2019,0,NRA,1,2019,,,,,,,,,,,1,2019,,,,,0,NV,2,2019,,,,,0,NV,2,2019,,,,,0,NV,2,2019,,,1,2019
18002920,1.35,NRA,1,2019,,,,,2.7,NRA,1,2019,.6,NRA,1,2019,,,,,,,,,,,1,2019,0,NV,2,2019,0,NV,2,2019,,,,,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,,,1,2019
18002964,10.7,V,1,2019,,,,,13.4,V,1,2019,8.4,NV,2,2019,,,,,,,,,,,1,2019,15,V,1,2019,16.4,V,1,2019,16.7,V,1,2019,13.5,V,1,2019,,,,,14,V,1,2019,,,1,2019
18002970,10,V,1,2019,,,,,10,V,1,2019,1.7,NRA,1,2019,,,,,,,,,,,1,2019,10,V,2,2019,10,V,2,2019,10,V,2,2019,10.5,V,1,2019,,,,,14,V,1,2019,,,1,2019
18002977,,,,,,,,,0,NRA,1,2019,0,NRA,1,2019,,,,,0,NRA,1,2019,,,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2019
18002985,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019
18002993,9463,AC,2,2019,7,AC,2,2019,10,V,2,2019,9.6,AC,2,2019,13.25,V,1,2019,14.2,V,1,2019,10586,V,2,2019,11,V,1,2019,13,V,1,2019,11,V,1,2019,10.5,V,1,2019,9,AC,2,2019,10,V,2,2019,10.75,V,2,2019
18003039,0,NRA,1,2019,,,,,0,NRA,1,2019,0,NRA,1,2019,,,,,,,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2019
18003052,11213,V,1,2019,7,AC,2,2019,11.45,V,1,2019,9.4,AC,2,2019,9.5,AC,2,2019,12.2,V,1,2019,10127,V,2,2019,10,V,2,2019,12.2,V,1,2019,11,V,1,2019,15.5,V,1,2019,10,V,2,2019,12.5,V,1,2019,11867,V,2,2019
18003062,10,V,2,2019,10,V,2,2019,10,V,2,2019,11.5,V,1,2019,13.75,V,1,2019,12.4,V,1,2019,11275,V,2,2019,15,V,1,2019,14.8,V,1,2019,17,V,1,2019,15.75,V,1,2019,15.75,V,1,2019,13,V,1,2019,15217,V,1,2019
18003099,13363,V,1,2019,10.55,V,1,2019,11.8,V,1,2019,15.9,V,1,2019,13,V,1,2019,16.4,V,1,2019,13502,V,1,2019,15,V,1,2019,17.6,V,1,2019,16.7,V,1,2019,16.5,V,1,2019,11.8,V,1,2019,12,V,1,2019,14933,V,1,2019
18003135,7163,NV,2,2019,5.05,NV,2,2019,8,NV,2,2019,2.4,NRA,1,2019,.625,NRA,1,2019,5.6,NV,2,2019,4806,NV,2,2019,12,V,1,2019,16,V,1,2019,19,V,1,2019,15.5,V,1,2019,11,V,1,2019,10,V,2,2019,13917,V,2,2019
18003146,12.6,V,1,2019,8,AC,2,2019,16.55,V,1,2019,14.6,V,1,2019,11.5,V,1,2019,18.9,V,1,2019,13692,V,2,2019,15,V,1,2019,17.6,V,1,2019,20,V,1,2019,13.5,V,1,2019,17,V,1,2019,16.5,V,1,2019,16.6,V,1,2019
18003154,8025,NV,2,2019,6.25,NV,2,2019,10,V,2,2019,3.55,NRA,1,2019,2,NRA,1,2019,2.2,NRA,1,2019,5338,NV,2,2019,10,V,2,2019,11.8,V,1,2019,7,AC,2,2019,14.25,V,1,2019,12.75,V,1,2019,10,V,2,2019,10967,V,2,2019
18003163,10625,V,1,2019,7,AC,2,2019,11.8,V,1,2019,9.2,AC,2,2019,7,AC,2,2019,11.7,V,1,2019,9554,AC,2,2019,13,V,1,2019,15.4,V,1,2019,11,V,1,2019,12.5,V,1,2019,16.5,V,1,2019,13.5,V,1,2019,13.65,V,1,2019
18003182,,,,,,,,,0,NRA,1,2019,0,NRA,1,2019,,,,,,,,,,,1,2019,,,,,0,NV,2,2019,,,,,0,NV,2,2019,,,,,0,NV,2,2019,,,1,2019
18003200,,,,,,,,,12.5,V,1,2019,,,,,,,,,,,,,,,1,2019,,,,,,,,,,,,,16.5,V,1,2019,,,,,15,V,1,2019,,,1,2019
18003237,11125,V,1,2019,7.5,AC,2,2019,12.75,V,1,2019,12.6,V,1,2019,11.25,V,1,2019,16.6,V,1,2019,11971,V,2,2019,12,V,1,2019,16.4,V,1,2019,16.66,V,1,2019,13.5,V,1,2019,14.66,V,1,2019,15,V,1,2019,14703,V,1,2019
18003244,11513,V,1,2019,10.1,V,1,2019,12.2,V,1,2019,13,V,1,2019,12875,V,1,2019,18.5,V,1,2019,13031,V,1,2019,11,V,1,2019,12.4,V,1,2019,14.4,V,1,2019,15.5,V,1,2019,10,V,2,2019,15,V,1,2019,13.05,V,2,2019
18003249,7975,NV,2,2019,10,V,2,2019,10,V,2,2019,3.1,NRA,1,2019,2625,NRA,1,2019,5.3,NV,2,2019,6.5,NV,2,2019,14,V,1,2019,17,V,1,2019,20,V,1,2019,15.5,V,1,2019,12.5,V,1,2019,15,V,1,2019,15667,V,1,2019
18003254,12088,V,1,2019,7,AC,2,2019,12.45,V,1,2019,13.2,V,1,2019,12.75,V,1,2019,14.2,V,1,2019,11948,V,2,2019,15,V,1,2019,14.6,V,1,2019,17.8,V,1,2019,15.5,V,1,2019,17.33,V,1,2019,14,V,1,2019,15705,V,1,2019
18003258,7,NV,2,2019,,,,,10,V,2,2019,.4,NRA,1,2019,,,,,,,,,,,1,2019,,,,,11.2,V,1,2019,,,,,,,,,,,,,12,V,1,2019,,,1,2019
18003274,10163,V,1,2019,10,V,2,2019,10.95,V,1,2019,2.5,NRA,1,2019,10,V,1,2019,11,V,1,2019,9102,NV,2,2019,10,V,1,2019,13.4,V,1,2019,10,V,1,2019,13,V,1,2019,10,V,2,2019,13,V,1,2019,11567,V,2,2019
18003294,13513,V,1,2019,10,V,2,2019,13.8,V,1,2019,10,V,2,2019,7.25,AC,2,2019,7.6,AC,2,2019,10361,V,2,2019,13,V,1,2019,15.8,V,1,2019,11,V,1,2019,13.5,V,1,2019,16.5,V,1,2019,15.5,V,1,2019,14217,V,1,2019
18003309,10,V,1,2019,8,AC,2,2019,10,V,2,2019,9.7,AC,2,2019,7.5,AC,2,2019,10.9,V,1,2019,9.35,AC,2,2019,14,V,1,2019,13.2,V,1,2019,13.33,V,1,2019,13,V,1,2019,13,V,1,2019,10,V,1,2019,12755,V,1,2019
18003329,,,,,3.5,NRA,1,2019,,,,,5,NV,2,2019,,,,,15.1,V,1,2019,,,1,2019,17,V,1,2019,16.6,V,1,2019,20,V,1,2019,16.5,V,1,2019,10,V,2,2019,0,NV,2,2019,13.35,NV,2,2019
18003331,13425,V,1,2019,7.75,AC,2,2019,13.35,V,1,2019,10.2,V,1,2019,10.5,V,1,2019,11.1,V,1,2019,11054,V,2,2019,10,V,1,2019,12.4,V,1,2019,13.3,V,1,2019,15,V,1,2019,18,V,1,2019,14,V,1,2019,13783,V,1,2019
18003352,10,V,2,2019,7.5,AC,2,2019,10,V,2,2019,10.65,V,1,2019,10,V,2,2019,10.1,V,1,2019,9708,AC,2,2019,14,V,1,2019,11.2,V,1,2019,18,V,1,2019,16.5,V,1,2019,10,V,2,2019,10,V,2,2019,13283,V,2,2019
18003363,,,,,,,,,,,,,0,NRA,1,2019,,,,,,,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2019
18003370,,,,,,,,,0,NRA,1,2019,,,,,,,,,,,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2019
18003446,13288,V,1,2019,3.9,NRA,1,2019,10,V,1,2019,4.3,NRA,1,2019,6.25,NV,2,2019,11.3,V,1,2019,8173,NV,2,2019,10,V,1,2019,16.2,V,1,2019,,,,,,,,,,,,,10,V,1,2019,,,1,2019
18003454,10,V,2,2019,7,AC,2,2019,10.05,V,1,2019,10.5,V,1,2019,10,V,1,2019,14,V,1,2019,10258,V,2,2019,11,V,1,2019,15.2,V,1,2019,15.6,V,1,2019,15.5,V,1,2019,10.5,V,1,2019,13,V,1,2019,13467,V,1,2019
18003462,14013,V,1,2019,7.5,AC,2,2019,10.95,V,1,2019,15.1,V,1,2019,10.25,V,1,2019,15.7,V,1,2019,12252,V,2,2019,13,V,1,2019,15.4,V,1,2019,19,V,1,2019,16.75,V,1,2019,10.5,V,1,2019,12.5,V,1,2019,14525,V,1,2019
